fm_fp,ts_fp,LedState,ts,G0,G1,Unnamed: 6,Unnamed: 7,G0-pks,G1-pks,event,event_type
16867,30457.57814,2,30005823.52,0.3054228633357327,-0.7036818589400815,,,False,False,,
16869,30457.62793,2,30005833.49,0.2856348792753351,-0.7219264710115777,,,False,False,,
16871,30457.67798,2,30005843.46,0.3558041464040207,-0.6476880594845535,,,False,False,,
16873,30457.72799,2,30005853.44,0.3685686500351943,-0.6059251275942855,,,False,False,,
16875,30457.7785,2,30005863.41,0.4283687755211298,-0.5327625779341468,,,False,False,,
16877,30457.82822,2,30005873.38,0.4572289902271667,-0.4779259492795451,,,False,False,,
16879,30457.87899,2,30005883.35,0.4830865938919605,-0.462605601510115,,,False,False,,
16881,30457.92856,2,30005893.33,0.5726873281212324,-0.3998748352208248,,,False,False,,
16883,30457.97896,2,30005903.3,0.5865081801373435,-0.3720210073484559,,,False,False,,
16885,30458.02893,2,30005913.27,0.6958737969823812,-0.3485024492917687,,,False,False,,
16887,30458.08006,2,30005923.25,0.6533465035258124,-0.3398461789593679,,,False,False,,
16889,30458.12919,2,30005933.22,0.7920120705815498,-0.3201589310235575,,,False,False,,
16891,30458.17933,2,30005943.19,0.7758100353684727,-0.2818552257691908,,,False,False,,
16893,30458.2298,2,30005953.17,0.8990196059818558,-0.130858626840406,,,False,False,,
16895,30458.28028,2,30005963.14,0.9166766035271886,-0.0032131996259405,,,False,False,,
16897,30458.32995,2,30005973.11,0.9993553579226264,0.0976673257346017,,,False,False,,
16899,30458.38013,2,30005983.08,0.9735906036129288,0.1961692365351865,,,False,False,,
16901,30458.43048,2,30005993.06,0.8848614909492934,0.2039356663327491,,,False,False,,
16903,30458.48084,2,30006003.03,0.8890361342211806,0.2361154835058203,,,False,False,,
16905,30458.53103,2,30006013.0,0.8057831279526414,0.2018371026413359,,,False,False,,
16907,30458.58081,2,30006022.98,0.7626719532963235,0.0770004071478933,,,False,False,,
16909,30458.63182,2,30006032.95,0.6898992256985248,0.0363485402641041,,,False,False,,
16911,30458.68151,2,30006042.92,0.5670885333621878,0.0172683288045611,,,False,False,,
16913,30458.73183,2,30006052.9,0.4002166421004709,0.0012387148299788,,,False,False,,
16915,30458.78195,2,30006062.87,0.3213004405049975,-0.0371933624546526,,,False,False,,
16917,30458.8321,2,30006072.84,0.4299710361909619,-0.0853808606917095,,,False,False,,
16919,30458.88196,2,30006082.81,0.1691111191835005,-0.1581406125032887,,,False,False,,
16921,30458.93198,2,30006092.79,0.1732022719531342,-0.2041264290475956,,,False,False,,
16923,30458.9829,2,30006102.76,0.1784611809586084,-0.2556776580524775,,,False,False,,
16925,30459.03256,2,30006112.73,0.2334799401535866,-0.2938964627407514,,,False,False,,
16927,30459.0825,2,30006122.71,0.1229841105195861,-0.3641777248708976,,,False,False,,
16929,30459.13329,2,30006132.68,0.0290288135448722,-0.4056149990360244,,,False,False,,
16931,30459.18294,2,30006142.65,-0.0790762029614007,-0.476282128123137,,,False,False,,
16933,30459.23314,2,30006152.63,-0.0260034373472637,-0.5620158249997086,,,False,False,,
16935,30459.28402,2,30006162.6,0.0715200472380051,-0.5933845856407645,,,False,False,,
